filename,label,group
BloodImage_00127__BloodImage_00127_01788_RBC.png,RBC,BloodImage_00127
BloodImage_00127__BloodImage_00127_01789_RBC.png,RBC,BloodImage_00127
BloodImage_00127__BloodImage_00127_01790_RBC.png,RBC,BloodImage_00127
BloodImage_00127__BloodImage_00127_01791_RBC.png,RBC,BloodImage_00127
BloodImage_00127__BloodImage_00127_01792_RBC.png,RBC,BloodImage_00127
BloodImage_00127__BloodImage_00127_01793_WBC.png,WBC,BloodImage_00127
BloodImage_00127__BloodImage_00127_01794_Platelets.png,Platelets,BloodImage_00127
BloodImage_00314__BloodImage_00314_03713_RBC.png,RBC,BloodImage_00314
BloodImage_00314__BloodImage_00314_03714_RBC.png,RBC,BloodImage_00314
BloodImage_00314__BloodImage_00314_03715_RBC.png,RBC,BloodImage_00314
BloodImage_00314__BloodImage_00314_03716_RBC.png,RBC,BloodImage_00314
BloodImage_00314__BloodImage_00314_03717_RBC.png,RBC,BloodImage_00314
BloodImage_00314__BloodImage_00314_03718_RBC.png,RBC,BloodImage_00314
BloodImage_00314__BloodImage_00314_03719_RBC.png,RBC,BloodImage_00314
BloodImage_00314__BloodImage_00314_03720_RBC.png,RBC,BloodImage_00314
BloodImage_00314__BloodImage_00314_03721_RBC.png,RBC,BloodImage_00314
BloodImage_00314__BloodImage_00314_03722_RBC.png,RBC,BloodImage_00314
BloodImage_00314__BloodImage_00314_03723_Platelets.png,Platelets,BloodImage_00314
BloodImage_00314__BloodImage_00314_03724_Platelets.png,Platelets,BloodImage_00314
BloodImage_00314__BloodImage_00314_03725_Platelets.png,Platelets,BloodImage_00314
BloodImage_00314__BloodImage_00314_03726_Platelets.png,Platelets,BloodImage_00314
BloodImage_00314__BloodImage_00314_03727_Platelets.png,Platelets,BloodImage_00314
BloodImage_00314__BloodImage_00314_03728_WBC.png,WBC,BloodImage_00314
BloodImage_00159__BloodImage_00159_01985_RBC.png,RBC,BloodImage_00159
BloodImage_00159__BloodImage_00159_01986_RBC.png,RBC,BloodImage_00159
BloodImage_00159__BloodImage_00159_01987_RBC.png,RBC,BloodImage_00159
BloodImage_00159__BloodImage_00159_01988_RBC.png,RBC,BloodImage_00159
BloodImage_00159__BloodImage_00159_01989_RBC.png,RBC,BloodImage_00159
BloodImage_00159__BloodImage_00159_01990_Platelets.png,Platelets,BloodImage_00159
BloodImage_00159__BloodImage_00159_01991_Platelets.png,Platelets,BloodImage_00159
BloodImage_00159__BloodImage_00159_01992_Platelets.png,Platelets,BloodImage_00159
BloodImage_00159__BloodImage_00159_01993_WBC.png,WBC,BloodImage_00159
BloodImage_00395__BloodImage_00395_04666_RBC.png,RBC,BloodImage_00395
BloodImage_00395__BloodImage_00395_04667_RBC.png,RBC,BloodImage_00395
BloodImage_00395__BloodImage_00395_04668_RBC.png,RBC,BloodImage_00395
BloodImage_00395__BloodImage_00395_04669_RBC.png,RBC,BloodImage_00395
BloodImage_00395__BloodImage_00395_04670_RBC.png,RBC,BloodImage_00395
BloodImage_00395__BloodImage_00395_04671_RBC.png,RBC,BloodImage_00395
BloodImage_00395__BloodImage_00395_04672_RBC.png,RBC,BloodImage_00395
BloodImage_00395__BloodImage_00395_04673_RBC.png,RBC,BloodImage_00395
BloodImage_00395__BloodImage_00395_04674_RBC.png,RBC,BloodImage_00395
BloodImage_00395__BloodImage_00395_04675_RBC.png,RBC,BloodImage_00395
BloodImage_00395__BloodImage_00395_04676_RBC.png,RBC,BloodImage_00395
BloodImage_00395__BloodImage_00395_04677_RBC.png,RBC,BloodImage_00395
BloodImage_00395__BloodImage_00395_04678_RBC.png,RBC,BloodImage_00395
BloodImage_00395__BloodImage_00395_04679_RBC.png,RBC,BloodImage_00395
BloodImage_00395__BloodImage_00395_04680_WBC.png,WBC,BloodImage_00395
BloodImage_00395__BloodImage_00395_04681_Platelets.png,Platelets,BloodImage_00395
